"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,demographics,,text,"Record ID",,"Please use format [facility abbriviation]/[year]/[record number] e.g CHK/2024/001",,,,,,,,,,,
demog_district,demographics,,radio,District,"BIK, Bikita | ZAK, Zaka | CHI, Chiredzi",,,,,,,y,,,,,
demog_facility,demographics,,radio,"Facility and catchment area","SIL, Silveira Hospital | BIK, Bikita RHC | CKK, Chikuku RHC | MSH, Mashoko Hospital | NDG, Ndanga Hospital | MUS, Musiso Hospital | BTA, Bota RHC | HRV, Harava RHC | CHI, Chiredzi Hospital | CHK, Chikombedzi Hospital",,,,,,,y,,,,,
demog_firstname,demographics,,text,"First name ",,,,,,,,y,,,,,
demog_surname,demographics,,text,Surname,,,,,,,,y,,,,,
demog_dateofbirth,demographics,,text,"Date of Birth",,,date_ymd,,,,,y,,,,,
demog_age,demographics,,calc,Age,"rounddown(datediff([demog_dateofbirth], 'today', 'y'))",,,,,,,,,,,,
demog_gender,demographics,,radio,Gender,"1, Male | 2, Female",,,,,,,y,,,,,
demog_address,demographics,,notes,"Client address",,,,,,,,,,,,,
demog_have_contact,demographics,,radio,"Does client have contact number?","Y, Yes | N, No | NA, Not Available",,,,,,,y,,,,,
demog_contact,demographics,,text,"Client contact number",,,,,,,"[demog_have_contact] = 'Y'",,,,,,
demog_marital_status,demographics,,radio,"Marital Status","1, Married | 2, Never Married | 3, Widowed | 4, Divorced or Separated | 5, Living together | 6, Minor (For children) | 7, Not Given | 8, Divorced",,,,,,,,,,,,
demog_education,demographics,,radio,"Level of education (Highest)","0, No Education | 1, Creche or ECD | 2, Primary level (Grade 1 - 7) | 3, Secondary level (Form 1-4) | 4, A level (Form 5-6) | 5, College | 6, Degree | 7, Post Graduate, | 8, Not Provided",,,,,,,,,,,,
demog_client_profile,demographics,,radio,"Client Profile
","1, General Population | 2, Sex Worker | 3, Men having sex with men (MSM) | 4, Women having sex with women (WSW) | 5, People who use drugs (PWUD) | 6, People who inject drugs (PWID) | 7, Transgender | 8, Other",,,,,,,y,,,,,
demog_client_profile_other,demographics,,text,"Please specify",,,,,,,"[demog_client_profile] = '8'",y,,,,,
sti_access,sti_register,,radio,"<font color=""blue""><b>STI-S</b></font>  Did the client access this service?","Y, Yes | N, No | UN, Unverified",,,,,,,y,,,,,
sti_visit_date,sti_register,,text,"<font color=""blue""><b>STI-0</b></font>  Date of visit",,,date_ymd,,,,"[sti_access] = 'Y'",y,,,,,
sti_date,sti_register,,text,"<font color=""blue""><b>STI-1</b></font>  Date (STI review)",,,date_ymd,,,,"[sti_access] = 'Y'",y,,,,,
sti_client_history,sti_register,,notes,"<font color=""blue""><b>STI-2</b></font> Write in full presenting complaint or history of the client",,,,,,,"[sti_access] = 'Y'",,,,,,
